Death Trash Language File		
#Options:	Options	Aukerak
#MoveOne:	Move x 1	Mugitu x 1
#MoveStack:	Move Stack	Apalak mugitu*
#EnergyCells:	Energy Cells	Zelula energetikoak
#QuickItemUsageNotNeeded:	Health is already full	Osasuna topera dago
#AlreadyEnoughItems:	Can't pick up more of that	Ezin duzu hori baino gehiago hartu
#NoRangedWeaponEquipped:	No ranged weapon equipped	Urrutiko arma ekipaturik gabe
#Multiplayer:	Multiplayer	Multijokalaria
#SwitchingGameModeNotPossibleHere:	Switching Mode not possible right now	Orain ez da posible modua aldatzea
#Save:	Save	Gorde 
#LoadSavegame:	Load Game	Partida kargatu
#LocalMultiplayer:	Local Co-Op	Kooperatibo Lokala
#Autosave:	Autosave	Automatikoki gorde
#SelectOtherProfile:	Select Profile	Profila hautatu
#DeleteProfile:	Delete Profile {0}	Profila ezabatu {0}
#NewProfile:	New Slot	Lauki berria
#Credits:	Credits	Kredituak
#Accept:	Accept	Onartu
#NotEnoughMaterials:	Not enough materials	Ez dago material nahikorik
#Sound:	Sound	Soinua
#Music:	Music / Environment	Musika / Giroa
#RunInBackground:	Continue running gameplay when unfocused	Exekutatu bigarren planoan
#GamepadVibration:	Controller Vibration	Agintearen bibrazioa
#LockCursor:	Lock mouse cursor	Blokeatu saguaren kurtsorea
#FriendlyFire:	Friendly Fire	Lagunei tirokatzea
#Screenshake:	Screenshake	Pantaila-mugimendua
#EquipMeleeWeapon:	Melee Weapon	Arma cuerpo a cuerpo
#EquipRangedWeapon:	Ranged Weapon	Urrutiko arma
#MeleeStrong:	Strong Melee	Kolpe gogorra
#Ability:	Ability	Trebetasuna
#Difficulty:	Difficulty	Zailtasuna
#HardDifficultyDescription:	Enemies have better stats. Enemies rotate and shoot faster.	Etsaiek estatistika hobeak dituzte. Etsaiak jiratu eta azkarrago egiten dute tiro.
#Normal:	Standard	Normala
#SelectProfileSlot:	Select Profile Slot	Hautatu profilaren laukia
#SelectDifficulty:	Combat Difficulty	Borrokarako zailtasuna
#DifficultyDescription:	You can change the difficulty anytime during the game. You can also avoid combat encounters.	Edozein unetan alda dezakezu zailtasuna jokoan zehar. Gainera, borroka batzuk saihestu ditzakezu.
#HardDifficultyName:	Hard	Zaila
#NormalDifficulty:	Combat will be challenging.	Borroka zailagoa izango da.
#EasyDifficultyDescription:	Enemies have worse stats.	Etsaiek estatistika txarragoak dituzte.
#EasyDifficultyName:	Relaxed	Erlaxatuta
#SelectGameMode:	Local Co-Op Mode	Kooperatibo lokala
#NotEnough:	Not enough	No hay suficiente
#Undo:	Undo	Deshacer
#PhysicalBlunt:	Blunt	Sendoa
#PhysicalSharp:	Sharp	Zorrotza
#PhysicalProjectiles:	Projectiles	Jaurtigaiak
#Buy:	Buy	Erosi
#Sell:	Sell	Saldu
#IncreaseCritChance:	Crit Chance	Frog. kritikoa
#IncreaseCritDamage:	Crit Damage	Kalte kritikoa
#NotAvailableHere:	This action is not available here.	Ekintza hau ez dago eskuragarri hemen.
#NotAvailableYet:	This action is not available yet.	Ekintza hau oraindik ez dago eskuragarri.
#BrowseEmptyAgain:	Search (Empty)	Bilatu (Hutsik)
#RangedDescription:	Proficiency with ranged weapons like rifles and energy guns. Increased damage.	Urrutiko armekin eraginkortasuna izatea, hala nola errifleekin eta energia-armekin. Kaltea areagotzen du.
#MeleeSharpDescription:	Proficiency with melee weapons like blades. Increased damage.	Armekin duten eraginkortasuna, ezpatekin gertatzen den bezala. Kaltea areagotzen du.
#SpeedDescription:	Increased movement speed.	Mugimendu-abiadura handitzen du.
#AnimalismDescription:	A good understanding of animals.	Animalien ulermen ona.
#ArtistryDescription:	Creativity and a feel for special opportunities. Unlocks dialogue options.	Sormena eta aukera onak aprobetxatzea. Elkarrizketa-aukerak desblokeatzen ditu.
#SmallGunsDescription:	Proficiency with small guns like pistols and SMGs. Increased damage.	Eraginkortasuna arma txikiekin, hala nola pistolekin eta SMGekin. Kaltea areagotzen du.
#LockpickingDescription:	Unlocking doors and containers. Increased chance of success.	Ateak eta edukiontziak desblokeatzea. Arrakasta izateko probabilitatea handitzen du.
#PickpocketingDescription:	Stealing from other characters. Increased chance of success.	Beste pertsonaia batzuei lapurtzea. Arrakasta izateko probabilitatea handitzen du.
#BarteringDescription:	Interacting with merchants. Better prices.	Merkatariekin elkarreragin. Prezio hobeak lortzen dituzu.
#ToggleCombatMode:	Combat Mode	Borroka modua
#GraphicViolence:	Exploding Bodies	Gorpu leherkorrak
#Master:	Master	Maisua
#InvalidName:	Invalid Name	Izen baliogabea
#FriendlyFireNone:	None	Bat ere ez
#FriendlyFireOnlyExplosives:	Explosives	Lehergailuak
#FriendlyFireFull:	Full	Guztira
#Color:	Color	Kolorea
#AccentColor:	Accent Color	Kolorearen xehetasuna
#PhysicalBluntDescription:	Resistance against blunt objects like Clubs.	Arma sendoen aurkako erresistentzia, adibidez, garroteak.
#PhysicalSharpDescription:	Resistance against sharp objects like axes and blades.	Aizkora eta ezpata gisako arma zorrotzen aurkako erresistentzia.
#PhysicalProjectilesDescription:	Resistance against most of the ranged weapons.	Urrutiko arma gehienen aurkako erresistentzia.
#FireDescription:	Resistance against any kind of fire based damage.	Edozein motatako su-kalteen aurkako erresistentzia.
#EnergyDescription:	Resistance against any kind of energy based damage.	Energiaren ondoriozko edozein kalteren aurkako erresistentzia.
#TechDescription:	Resistance against any kind of tech based damage, including cyber attacks.	Edozein kalte teknologikoren aurkako erresistentzia, zibererasoak barne.
#TitleScreen:	Title Screen	Hasiera pantalla
#NoReloadNeeded:	No reload needed	Ez dago kargatzeko beharrik
#Health:	Health	Osasuna
#ReloadPrompt:	{0}	{0}
#NoRangedWeapon:	No ranged weapon	Urrutiko armarik gabe
#QuestCantBeStartedAgain:	Quest can't be started again	Misioa ezin da berriro hasi
#Collect:	Collect	Bildu
#CharacterName:	Character Name	Pertsonaiaren izena
#UISize:	UI Scale	Interfazearen tamaina
#UISmall:	Small	Txikia
#UIBig:	Large	Handia
#UICustom:	Custom	Pertsonalizatua
#ItemRequirementsMissing:	Item requirements missing	Beharrezko objektuak falta dira
#SwitchHandheldZoomedOut:	Handheld: Zoomed Out	Txandakatu: Zoom
#SaveInFreeSlot:	Free Slot	Lauki erabilgarria
#Interrupted:	Action interrupted	Ekintza etena
#AimingHelpForController:	Controller Aiming Help	Laguntza apuntatzeko
#UsedKey:	Used key	Erabilitako giltza
#TravelTo:	Travel to	Bidaiatu
#Backstab:	Backstab	Labankada
#PotentialSalvage:	Potential salvage	Desegite potentziala
#Yes:	Yes	Bai
#No:	No	Ez
#Skip:	Skip {0}	Aurrera egin {0}
#Container:	Container	Edukiontzia
#Skills:	Skills	Trebetasunak
#Statistics:	Statistics	Estatistikak
#Stats:	Stats	Estatistikak
#General:	General	Orokorra
#Puked:	Puked	Botaka
#Killed:	Killed	Hilda
#QuestsFailed:	Quests failed	Misioak porrot egin du
#QuestsFinished:	Quests finished	Misioa amaituta
#Social:	Social	Soziala
#Combat:	Combat	Borroka
#Trickery:	Trickery	Maltzurkeria
#SmallGuns:	Small Firearms	Urrutirako arma txikiak
#Melee:	Melee	Buruz buru
#LargeGunsDescription:	Proficiency with rifles and shotguns. Increased damage.	Eraginkortasuna errifle eta eskopetekin. Kaltea areagotzen du.
#TechnologyDescription:	Proficiency with advanced weapons. Increased damage.	Eraginkortasuna arma aurreratuekin. Kaltea areagotzen du.
#Artistry:	Artistry	Artea
#Bartering:	Bartering	Trukea
#Lockpicking:	Lockpicking	Sarrailak behartzea
#Attributes:	Core	Nagusiak
#Resistances:	Resistances	Erresistentziak
#Strength:	Strength	Indarra
#Hardness:	Hardiness	Sendotasuna
#Finesse:	Finesse	Sotiltasuna
#Cybertech:	Cybertech	Cyberteknologia
#Empathy:	Empathy	Enpatia
#Occultism:	Occultism	Okultismoa
#ExperienceAbbreviation:	Exp.	Esp.
#Level:	Level	Maila
#Point:	Point	Puntua
#Points:	Points	Puntuak
#Remaining:	remaining	eskuragarri
#Fire:	Fire	Sua
#Energy:	Energy	Energia
#HardnessDescription:	Increased health and resistances.	Osasuna eta erresistentziak areagotzen ditu.
#StrengthDescription:	Allows the use of better melee weapons. Better crit chances with melee weapons.	Buruz buru arma hobeak erabiltzeko aukera ematen du. Kritikari onenak buruz buru.
#FinesseDescription:	Allows the use of better ranged weapons. Better crit chances with ranged weapons.	Urrunerako arma hobeak erabiltzeko aukera ematen du, urruneko armekin kritikoak diren hobeak.
#OccultismDescription:	Allows the use of abilities that communicate with the flesh.||Makes you endure higher stages of infection.	Haragiarekin komunikatzen diren trebetasunak erabiltzeko aukera ematen du.||Infekzioaren egoera handiagoari eusteko aukera ematen dizu.
#CybertechDescription:	Allows the use of most forms of implants and tech abilities.	Inplante eta trebetasun teknologiko gehienak erabiltzea ahalbidetzen du.
#EmpathyDescription:	Influences some interactions with other characters.	Beste pertsonaia batzuekiko elkarreragin batzuk eragiten ditu
#RandomVariant:	Random Name {0}||Random Variant {1}	Ausazko izena {0} || Ausazko aldaera {1}
#RandomVariantAndNextTemplate:	Random name {0}||Random visuals {1} Next preset {2}	Ausazko izena {0} || Ausazko bisualak {1} Hurrengo seta {2}
#ChooseYourCharacter:	Choose your character	Aukeratu zure pertsonaia
#ChooseYourClass:	Choose your character	Aukeratu zure klasea
#Language:	Language	Hizkuntza
#EnglishLanguage:	English	Ingelesa
#GermanLanguage:	Deutsch	Alemana
#Drop:	Drop	Askatu
#Audio:	Audio	Audioa
#CurrentGame:	Current game	Oraingo partida
#Unequip:	Unequip	Ekipamendua kendu
#TutorialCloseInventory:	Close inventory	Inbentarioa itxi
#TutorialNavigateToInventoryTabMouse:	Click on the Inventory Tab	Egin klik inbentarioaren fitxan
#TutorialNavigateToInventoryTabController:	Open Inventory {0}{1}	Inbentarioa ireki {0}{1}
#TutorialSelectAbilityMouse:	Select the [0]{0} Ability||from the Action Bar	Trebetasuna aukeratu [0]{0}||akzio barratik
#TutorialSelectAbilityController:	Select the [0]{0} Ability||with {1} and {2}	Trebetasuna aukeratu [0]{0}||{1} eta {2}
#TutorialUseAbilityAnywhere:	Use ability [0]{0}||anywhere {1}	Trebetasuna erabili [0]{0}||edozein lekutan {1}
#TutorialPickUpPuke:	Pick up some of your own puke	Jaso zeure gonbitotik pixka bat
#TutorialExamineMachineAgain:	Examine the machine again	Makina berriro aztertu
#TutorialCombatLeave:	Holster your weapon {0}	Gorde zure arma {0}
#TutorialMeleePickUpWeapon:	Pick up the weapon	Arma hartu
#TutorialMeleeEquipWeapon:	Equip the weapon	Arma ekipatu
#TutorialMeleeEnterCombatModeMouse:	Draw weapon {0}	Arma atera {0}
#TutorialMeleeEnterCombatModeController:	Hit melee {0}||to enter combat mode||	Jo {0}||borrokan hasteko||
#TutorialMeleeWalkKeyboard:	Walk around with {0}{1}{2}{3}	Mugitzeko {0}{1}{2}{3}
#TutorialMeleeAttackDoor:	Destroy that door over there||with {0}	Atea suntsitu||{0} erabiliz
#TutorialMeleeStrong:	Strong Melee Attack:||Hold {0}	Kolpe gogorra:||Mantendu {0}
#TutorialRangedPickUpWeapon:	Pick up the rifle||and the ammo	Erriflea hartu||eta munizioa
#TutorialRangedEquipWeapon:	Equip the rifle	Erriflea ekipatu
#TutorialRangedSelectWeaponMouse:	Target with ranged weapon||{0}	Apuntatu arma erabiliz||{0}
#TutorialRangedSelectWeaponController:	Select ranged weapon||by targeting with right stick	Aukeratu urrunerako arma||eta apuntatu eskuineko stick-arekin
#TutorialRangedShootTargets:	Shoot all red lights||on the wall {0}	Argi gorri guztiei tiro egin||hormako {0}
#TutorialRangedReload:	Reload {0}	Berriz kargatu {0}
#Button:	{0}	{0}
#LootAllController:	{0} All	{0} Guztia
#LootAllMouse:	{0} All	{0} Guztia
#TutorialWalkMouse:	Walk {0} or {1}{2}{3}{4}	Mugitzeko {0} edo {1}{2}{3}{4}
#TutorialWalkGamepad:	Walk {0}	Mugitu {0}
#TutorialRoll:	Press {0} to roll.||Try it a few times now.	Sakatu {0} kroketa egiteko.||Probatu hainbat aldiz.
#TutorialSaveGame:	You can save the game manually when not in combat. {0}	Burrukan ez badauze, partida nahi duzunean gorde zenezake. {0}
#TutorialEnergyCost:	Some actions cost energy. When exhausted, you move slower.	Ekintza batzuek nekatzen zaituzte. Nekatuta zaudenean astiroago mugituko zara.
#TutorialDialogueContinue:	Continue {0}	Jarraitu {0}
#TutorialItemPickUp:	Pick up the [0]{0}	Hartu [0]{0}
#TutorialEquipItemMouse:	Click the [0]{0}||or drag it|| into the slot	Klikatu [0]{0}||edo eraman|| laukira
#TutorialEquipItemController:	Equip the [0]{0}	Erabili [0]{0}
#TutorialHealthPickUpItem:	Pick up [0]{0}	Hartu [0]{0}
#TutorialHealthUse:	Press {0} to heal yourself||with Nano Health.	Sakatu {0} sendatzeko||osasun txiki bat erabiliz.
#TutorialStealthUse:	Use [0]{0}||by holding {1}||	Erabili [0]{0}||{1} mantenduz||
#HealthInstant:	Health instantly	Momentuan osatu
#AllActionsInInventory:	All Actions {0}  Equip / Consume {1}  Close {2} / {3}	Akzio denak {0}  Ekipatu / Kontsumitu {1}  Itxi {2} / {3}
#CloseContentWindow:	Close {0} / {1}	Itxi {0} / {1}
#ClickToStart:	Click to start	Egin klik hasteko
#PressToStart:	Press  {0}  to start	Hasteko sakatu {0}
#Ammo:	Ammo	Munizioa
#Unarmed:	Unarmed	Armarik gabe
#NeedsAmmo:	Ammo	Munizioa
#ItemSlotLabelRanged:	Ranged	Urrutitik
#Weapons:	Weapons	Armak
#DoQuickSave:	Quicksave	Azkar gorde
#LocationFesteringGorge:	Festering Gorge	Eztarri septikoa
#LocationBunker17A:	Bunker 17	17 Bunker
#LocationRedForest:	Red Forest	Baso gorria
#LocationQueensPalace:	Queen's Palace	Erreginaren jauregia
#LocationCrossroads:	Crossroads	Bidegurutzeak
#LocationMine19:	Mine 19	19 Mina
#LocationRuinsOfOrlon:	Ruins Of Orlon	Oriongo aurriak
#LocationButchersDen:	Butcher's Den	Harakinaren gordelekua
#LocationPukeBar:	Puke Bar	Oka taberna
#LocationTutorialHub:	Kraken Temple	Kraken tenplua
#LocationMine19Outside:	Outside	Kanpoaldea
#LocationBunker17Outside:	Outside	Kanpoaldea
#LocationBunker17Inside:	Inside	Barrualdea
#LocationTutorialHubFacility:	Surface Integration Course	Azalerak integratzeko ikastaroa
#LocationTutorialHubCaves:	Caves	Kobazuloak
#LocationTutorialHubTemple:	Outside	Kanpoaldea
#Recipe:	Recipe	Errezeta
#LocationOutside:	Outside	Kanpoaldea
#LocationDungeon:	Dungeon	Mazmorra
#Barkeeper:	Barkeeper	Tabernaria
#YouveReached:	You've reached	Lortu duzu
#Screen:	Screen	Pantaila
#AskDeleteProfile:	Delete Profile?	Profila ezabatu?
#Singleplayer:	Singleplayer	Jokalari bat
#ControllerPlusController:	Controller  |  Controller	Agintea  |  Agintea
#MousePlusController:	Mouse  |  Controller	Sagua  |  Agintea
#ControllerPlusMouse:	Controller  |  Mouse	Agintea  |  Sagua
#SwitchSides:	Switch sides	Aldatu
#SwitchCharacters:	Switch characters	Pertsonaiak aldatu
#LocationVillageHub:	Tauris	Tauris
#LocationsVisited:	Locations visited	Bisitatutako lekuak
#WorldMapEnterAgain:	Enter	Sartu
#Campaign:	Death Trash	Death Trash
#CanBeSoldAtMerchants:	Can be sold at merchants	Merkatariei saltzeko aproposa
#CombatModeNotAvailableYet:	Combat mode is not available yet	Borroka-modua ez dago erabilgarri
#YouHaveReachedEndOfDemo:	End Of Demo	Demoaren amaiera
#YouHaveReachedEndOfGame:	You have reached the current end of the Early Access version.	Sarbide aurreratuko bertsioaren mugara iritsi zara.
#ReturnToMainMenuQuestion:	Return to Main Menu?	Menu nagusira itzuli?
#ReturnToTitleScreenQuestion:	Return to Title Screen?	Izenburuaren pantailara itzuli?
#ContinuePlayingFullGame:	Continue Campaign	Kanpaina jarraitu
#QuestItem:	Quest Item	Misioaren xedea
#TutorialNavigateToInventoryWithController:	Open Inventory {0}	Inbentarioa ireki {0}
#TutorialNavigateToInventoryWithMouse:	Open Inventory with {0}||or click on the portrait	Ireki inbentarioa {0}||edo egin klik erretratuan
#Vignette:	Vignette	Bineta
#ApplyChangesQuestion:	Apply Changes?	Aldaketak aplikatu?
#Apply:	Apply	Aplikatu
#Discard:	Discard	Baztertu
#Screenshot:	Screenshot	Pantaila kapturatu
#Memory:	Memory	Memoria
#Symbiont:	Symbiont	Simbiontea
#BodyArmor:	Body Armor	Gorputz-armadura
#InventoryItems:	Items	Objektuak
#InventoryMemory:	Mind	Adimena
#InventoryQuestItems:	Quest Items	Misio-objektuak
#InventoryResources:	Resources	Baliabideak
#LearnedAbility:	Learned Ability	Ikasitako trebetasuna
#QuestsFinishedWindow:	Finished	Amaituta
#QuestsCurrentWindow:	Quests	Misioak
#QuestGetItem:	Get	Lortu
#QuestReturnTo:	Location	Kokapena
#QuestTravelToArea:	Location	Kokapena
#ButtonPromptEnterCombatMode:	{0} Draw weapon	{0} Arma zorrotik atera
#ButtonPromptLeaveCombatMode:	{0} Holster weapon	{0} Arma enfundatu
#NoItemsToBreakApart:	No items to deconstruct	Ez dago desegiteko objekturik
#Equipped:	Equipped	Ekipatua
#BreakEquippedItemApartQuestion:	Deconstruct equipped item?	Ekipatutako objektua desegin?
#BreakItemApartConfirmation:	Deconstruct	Desegin
#Create:	Create	Fabrikatu
#MeleeSpeedVerySlow:	Very slow	Oso motela
#MeleeSpeedSlow:	Slow	Motela
#MeleeSpeedNormal:	Normal	Normala
#MeleeSpeedFast:	Fast	Azkar
#MeleeSpeedVeryFast:	Very fast	Oso azkar
#HealthOverTime:	Health	Osasuna
#IncreaseMaxHealth:	Max Health	Osasun maximoa
#ItemCantBeDropped:	This item can't be dropped	Objektu hori ezin da bota
#Consumables:	Consumables	Kontsumigarriak
#OwnsTooManyAlready:	Max Item count reached	Lortutako objektuen maximoa
#AllActionsAtMerchant:	All Actions {0}  Buy / Sell {1}  Toggle  {3}  Close {2}	Akzio guztiak {0}  Erosi / Saldu {1}  Txandakatu  {3}  Itxi {2}
#TutorialNavigateToMainInventoryTabController:	Open Inventory {0}{1}	Ireki inbentarioa {0}{1}
#Equipment:	Equipment	Taldea
#NoEmptySpace:	No empty space	Ez dago lekurik
#HelpTextReadableItem:	Close {0} / {1}	Itxi {0} / {1}
#CancelActionTextMouse:		
#CancelActionTextGamepad:	Cancel {0} / {1}	Ezeztatu {0} / {1}
#CraftingResourceItem:	Crafting Resource	Fabrikazio-baliabidea
#ItemPickUpAnimal:	Animal	Animalia
#ItemSlotLabelBackImplant:	Back	Bizkarra
#ItemSlotLabelOrganImplant:	Implant	Inplantea
#NoReloadingBecauseNoRangedWeaponEquipped:	Can't reload:||No ranged weapon equipped	Ezin duzu kargatu::||Ez dago urrutirako armarik ekipatuta
#CharacterCreationAssignPoints:	Increase {0} Decrease {1}	Handitu {0} Txikitu {1}
#Permadeath:	Permadeath	Betirako hilda
#Enabled:	On	Aktibatuta
#Disabled:	Off	Desaktibatuta
#ClassSelectionHint:	Assign now or later!	Esleitu orain edo geroago!
#CannotWhileInCombat:	Cannot use this||while enemies are nearby	Ezin duzu hau erabili||etsaiak hurbil daudela
#DiscoveredItems:	Discovered items	Aurkitutako objektuak
#CharacterHelpingOtherCharacterAction:	Help	Lagundu
#LocationMountainPass:	Mountain Pass	Mendiko pasabidea
#WorldMapRandomEncounter:	Anomaly	Anomalia
#Unexplored:	Unexplored	Esploratu gabe
#Reputation:	Reputation	Ospea
#Enclaves:	Human Enclaves	Giza enklabeak
#FleshTitans:	Flesh Titans	Haragi-titanak
#MachineGod:	Machine God	Jainko makina
#MachineGodDescription:	It is alone. It is many. It watches everyone.	Bakarrik dago. Asko da. Denak zelatatzen ditu.
#FleshTitansDescription:	Cosmic beings of different, eccentric personalities.	Pertsona ospetsu desberdinak eta xelebreak dituzten izaki kosmikoak.
#EnclavesDescription:	The last bits of civilization on Nexus. Human settlements, barred off from the wasteland.	Nexusen zibilizazioaren azken aztarnak. Belazearen giza kokaleku suntsituak.
#WorldMapRandomEncounterAnomaly:	Anomaly	Anomalia
#WorldMapRandomEncounterNotice:	Encounter	Topaketa
#DialogueHiddenText:	Requirement not met	Bete gabeko baldintzak
#DialogueZoomAlwaysZoom:	Always	Beti
#TutorialMiniMap:	Use {0} to get a rough map of the area, including exits.	Erabili {0} gunearen mapa bat lortzeko, irteerak barne.
#ContainerStealing:	Stealing	Lapurtzen
#MouseInputInCombat:	Mouse Input in Combat	Sagua Input-a borrokan
#Resolution:	Resolution	Pantaila-bereizmena
#Display:	Display	Monitorea
#ScreenMode:	Screen mode	Pantaila-modua
#ExclusiveFullScreen:	Fullscreen Classic	Pantaila osoa
#FullScreenWindow:	Fullscreen Window	Ertzik gabeko leiho modua
#Windowed:	Windowed	Leiho modua
#ResetAllToDefault:	Reset all to default	Defektuzko baloreak
#DeleteOrResetEntry:	Delete entry {0}||Reset entry {1}	Sarrera ezabatu {0}||Sarrera berrabiarazi {1}
#UseActionBarFive:	Action Bar 5	5. ekintza-barra
#UseActionBarSix:	Action Bar 6	6. ekintza-barra
#UseActionBarSeven:	Action Bar 7	7. ekintza-barra
#UseActionBarEight:	Action Bar 8	8. ekintza-barra
#ToggleMeleeAndRanged:	Switch Melee and Ranged	Txandakatu gorputza eta distantzia
#AttackModeContext:	Manual Melee Attack Mode	Buruz buru erasotzeko modua
#Bindings:	Bindings	Lotuta
#HighlightAllObjectsMode:	Highlight all objects	Erakutsi objektu guztiak
#Text:	Text	Testua
#MerchantBuyBack:	Undo	Desegin
#CannotBeSold:	Cannot be sold	Ezin da saldu
#Emotion:	Emotion	Emozioa
#Sensation:	Sensation	Sentsazioa
#MeleeBluntDescription:	Proficiency with melee weapons like clubs. Increased damage.	Buruz buruko armen kaltea areagotzen du, hala nola garroteekin.
#NoMiniMapForThisLevel:	No map available for this area	Ez dago gune honen mapa eskuragarririk
#WorldMapRandomEncounterPatrol:	Encounter	Topaketa
#EarlyAccessDisclaimer:	This is an unfinished version of the game. You might encounter broken or missing parts.||||Save games won't work with the final release version.||||<color=#FFA68B> Press any key or button to start </color>	Jokoaren bertsio hau ez dago osorik. Litekeena da gauzak faltatzea edo akatsak izatea.||||Gordetako partidak ez dira bateragarriak jokoaren bertsio osoarekin.||||<color=#FFA68B> Sakatu edozein tekla hasteko </color>
#ElapsedTime:	Gameplay time	Jolastutako denbora
#Continued:	continued	jarraituta
#WillHealPointsOfHealthOverTime:	Will heal {0} health over time.	Denbora pasatuta {0} osatuko da.
#HasUsedCheats:	Used cheats	Tranpak erabili ditu
#AskActivateCheats:	Execute and activate cheats?	Tranpak aktibatu?
